IDBerco,Nome_Berco,Terminal,Taxa_Media_Pct,Taxa_Carga_Media_Pct,Dias_Acima_80,N_Dias,Status,Categoria
SSZ0676,Cais do Macuco - Público,Cais do Macuco - Público,75.4,74.3,252,365,Amarelo,B — Provavelmente misto
SSZ0626,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,74.6,74.2,251,365,Amarelo,B — Provavelmente misto
SSZ0416,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,74.6,74.3,248,365,Amarelo,B — Provavelmente misto
SSZ0653,Cais do Macuco - Público,Cais do Macuco - Público,71.8,70.7,249,365,Amarelo,B — Provavelmente misto
SSZ0423,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,70.7,68.2,235,365,Amarelo,B — Provavelmente misto
SSZ0412,Cais do Paquetá - Público,Cais do Paquetá - Público,70.3,68.1,234,365,Amarelo,B — Provavelmente misto
SSZ0413,Cais do Paquetá - Público,Cais do Paquetá - Público,69.8,69.8,241,365,Amarelo,B — Provavelmente misto
SSZ0641,Cais do Macuco - Público,Cais do Macuco - Público,53.2,45.8,164,365,Verde,B — Provavelmente misto
SSZ0211,Cais do Saboó - Público,Cais do Saboó - Público,49.4,41.8,170,365,Verde,B — Provavelmente misto
SSZ0213,Cais do Saboó - Público,Cais do Saboó - Público,48.7,45.1,163,365,Verde,B — Provavelmente misto
SSZ0212,Cais do Saboó - Público,Cais do Saboó - Público,47.3,47.2,161,365,Verde,B — Provavelmente misto
SSZ0629,Cais do Macuco - Público,Cais do Macuco - Público,46.3,36.0,138,365,Verde,B — Provavelmente misto
SSZ0652,Cais do Macuco - Público,Cais do Macuco - Público,44.5,41.4,132,365,Verde,B — Provavelmente misto
SSZ0525,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,34.1,1.4,89,365,Verde,B — Provavelmente misto
SSZ0322,Cais Público - Valongo,Cais Público - Valongo,18.9,14.2,64,365,Verde,B — Provavelmente misto
SSZ0627,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,9.9,0.0,20,365,Verde,B — Provavelmente misto
SSZ0628,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,7.6,0.0,10,365,Verde,B — Provavelmente misto
SSZ0415,Cais do Paquetá - Público,Cais do Paquetá - Público,6.4,6.3,21,365,Verde,B — Provavelmente misto
SSZ0321,Cais Público - Valongo,Cais Público - Valongo,2.3,0.0,8,365,Verde,C — Inactivo/Irrelevante
SSZ0651,Cais do Macuco - Público,Cais do Macuco - Público,1.5,0.0,0,365,Verde,C — Inactivo/Irrelevante
SSZ0942,Píer da TEG (SSZ 08) - Privativo,Píer da TEG (SSZ 08) - Privativo,78.6,78.4,271,365,Amarelo,C — Provavelmente não-container
SSZ0803,Píer da TGG (SSZ 14) - Privativo,Píer da TGG (SSZ 14) - Privativo,77.4,77.4,244,365,Amarelo,C — Provavelmente não-container
SSZ0941,Píer da TEAG (SSZ 10) - Privativo,Píer da TEAG (SSZ 10) - Privativo,73.7,73.7,255,365,Amarelo,C — Provavelmente não-container
SSZ5090,AGEO SP,Píer da Ageo (SSZ 32) - Privativo,69.1,69.1,220,365,Amarelo,C — Provavelmente não-container
SSZ0804,Píer da TERMAG (SSZ 12) - Privativo,Píer da TERMAG (SSZ 12) - Privativo,68.3,68.3,232,365,Amarelo,C — Provavelmente não-container
SSZ0112,Cais da Ilha Barnabé - Público,Cais da Ilha Barnabé - Público,68.3,68.3,214,365,Amarelo,C — Provavelmente não-container
SSZ0111,Cais da Ilha Barnabé - Público,Cais da Ilha Barnabé - Público,67.8,67.7,215,365,Amarelo,C — Provavelmente não-container
SSZ0815,Cais do TEV (SSZ 18) - Privativo,Cais do TEV (SSZ 18) - Privativo,58.4,57.9,147,365,Verde,C — Provavelmente não-container
SSZ0910,Píer da Ageo (SSZ 32) - Privativo,Píer da Ageo (SSZ 32) - Privativo,43.9,43.9,138,365,Verde,C — Provavelmente não-container
