IDBerco,Nome_Berco,Terminal,Porto,Taxa_Media_Pct,Taxa_Carga_Media_Pct,Taxa_Max_Mensal_Pct,Dias_Acima_80,Dias_Acima_95,Mes_Pico,Status,N_Dias,N_Atr,TEstadia_Med,TEspera_Med
SSZ0628,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,Santos,7.6,0.0,37.7,10,9,Jan,Verde,365,35.0,12.0,0.916666667
SSZ0240,Cais da Ecoporto (SSZ 35) - Privativo,Cais da Ecoporto (SSZ 35) - Privativo,Santos,6.7,5.7,27.3,15,12,Mar,Verde,365,14.0,,
SSZ0415,Cais do Paquetá - Público,Cais do Paquetá - Público,Santos,6.4,6.3,29.5,21,19,Mar,Verde,365,5.0,,
ITJ5006,SEARA Itajaí - 01,Cais Arrendado Transitoriamente,Itajaí,6.2,6.2,19.8,8,5,Jul,Verde,365,30.0,24.0,3.5833333335
RIO2101,Pier Mauá,Pier Mauá,Rio de Janeiro,4.8,0.0,24.7,9,8,Dez,Verde,365,16.0,,
RIO2102,Pier Mauá,Pier Mauá,Rio de Janeiro,4.4,0.7,18.9,7,2,Jan,Verde,365,17.0,,
RIG3213,Cais TERGRASA S.A,Cais TERGRASA S.A,Rio Grande,3.8,3.8,21.2,9,7,Ago,Verde,365,,,
RIO2104,Pier Mauá,Pier Mauá,Rio de Janeiro,3.3,0.1,17.9,3,2,Fev,Verde,365,17.0,,
SSA0201,Cais Público,Cais Público,Salvador,3.3,0.9,14.6,3,2,Mar,Verde,365,18.0,,
SSZ0321,Cais Público - Valongo,Cais Público - Valongo,Santos,2.3,0.0,28.1,8,8,Set,Verde,365,,,
SSZ0651,Cais do Macuco - Público,Cais do Macuco - Público,Santos,1.5,0.0,7.7,0,0,Mar,Verde,365,11.0,,
RIG3214,Cais TERGRASA S.A,Cais TERGRASA S.A,Rio Grande,1.1,1.1,12.7,3,3,Dez,Verde,365,1.0,,
SSA0205,Cais Público,Cais Público,Salvador,0.9,0.9,10.1,2,2,Mai,Verde,365,1.0,,
SFS0103,Retroarea 1,Retroarea 1,São Francisco do Sul,0.9,0.0,3.2,0,0,Jun,Verde,365,10.0,,
BRSC0080002,Berço 2,Portonave - Terminais Portuários de Navegantes,Itajaí,0.2,0.2,1.3,0,0,Jun,Verde,365,2.0,,
RIO2116,Cais Público Gamboa T1,Cais Público Gamboa T1,Rio de Janeiro,0.2,0.0,1.6,0,0,Set,Verde,365,,,
