Porto Atracação,Atracacoes,T_Espera_Median,T_Operacao_Median,T_Atracado_Median,T_Estadia_Median,Paral_H_Total,Paral_H_Median,Idx_Aproveitamento
Aratu,452,29.67,35.62,48.42,86.0,4070.05,7.95,0.76
Itajaí,450,4.08,9.89,15.57,23.04,4074.08,3.29,0.7
Terminal Aquaviário de Manaus,450,0.45,10.94,19.08,19.88,0.0,0.0,0.58
Estaleiro Renave,449,0.08,4.33,8.96,10.46,0.0,0.0,0.88
Terminal Ponta da Montanha,440,30.5,7.42,10.67,50.55,0.0,0.0,0.84
Portocel - Terminal Especializado de Barra do Riacho,408,3.96,35.93,58.6,67.5,0.0,0.0,0.81
Terminal Aquaviário de Madre de Deus,404,18.65,26.0,36.65,67.34,0.0,0.0,0.74
Terbian - Terminal Bianchini,389,1.67,17.25,25.67,33.17,1797.03,1.58,0.78
TEVEL,386,0.33,4.46,8.62,9.08,0.0,0.0,0.56
Terminal de Petróleo TPET/TOIL - Açu,384,46.2,20.6,33.4,101.34,2938.3,0.0,0.68
Terminal de Uso Privado de Macau,384,0.08,4.58,9.75,9.83,0.0,0.0,0.58
Terminal Santa Clara,371,0.5,6.5,15.12,15.67,0.0,0.0,0.48
Recife,371,0.5,109.0,101.32,105.67,0.0,0.0,0.97
Terminal Integrador Portuário Luiz Antonio Mesquita - TIPLAM,343,136.48,55.98,66.23,213.42,0.0,0.0,0.86
Petróleo Sabbá - Miritituba,334,0.3,5.34,9.29,9.75,0.0,0.0,0.59
Terminal Portuário Privativo da Alumar,334,97.22,32.98,35.37,140.25,0.0,0.0,0.89
Imbituba,333,25.83,36.58,46.36,91.5,3061.72,3.25,0.87
Terminal UNI-Z,330,77.98,36.41,44.53,143.68,0.0,0.0,0.91
TUP Ibepar,328,0.08,7.12,39.03,40.8,0.0,0.0,0.19
Maceió,325,2.0,37.5,31.29,47.07,0.0,0.0,0.84
MAC LAREN OIL ESTALEIROS,313,0.17,58.0,20.25,20.46,0.0,0.0,0.96
TUP Bertolini - Belém,310,0.08,7.58,46.25,48.23,0.0,0.0,0.18
Terminal Portuário Wellstream - TPW,298,2.0,,2.35,4.35,0.0,0.0,
Cattalini Terminais Marítimos,291,64.75,33.3,40.62,114.15,0.0,0.0,0.84
BRICLOG,288,0.68,,8.28,9.63,0.0,0.0,
Base Secundária Ipiranga de Porto Velho,284,368.88,5.0,7.2,433.17,0.0,0.0,0.68
ABI Miritituba,267,0.5,8.75,10.83,11.5,0.0,0.0,0.85
Terminal Marítimo Alfandegado Privativo de Uso Misto de Praia Mole,259,61.19,76.17,85.5,159.77,0.0,0.0,0.91
TUP Intermoor - Base de Apoio Marítimo Intermoor Açú,245,0.5,12.0,13.25,13.83,0.0,0.0,0.94
Bianchini Canoas,243,2.0,8.6,10.6,12.6,419.43,0.4,0.81
Estação Cujubinzinho,233,0.05,9.53,9.64,9.68,0.0,0.0,0.99
Tup da Salina Francisco Menescal,226,0.08,5.17,9.0,9.08,0.0,0.0,0.66
Terminal Trombetas,223,6.82,21.92,24.62,33.2,0.0,0.0,0.9
Porto Chibatão,220,1.08,57.1,64.07,65.23,0.0,0.0,0.92
